,tissue,cell_type,mass,groups,for_final_table,extrapolate,density,err,mean_volume_fl,mean_volume_err,child_10y,tot_child_10y,tot_mass_child_10y,woman,tot_woman,tot_mass_woman,man,tot_man,tot_mass_man,mass_err
0,Adipose tissue,B cells,0.0,adipose tissue,Others,human,8.9E+02,2.6,199,1.0,7500,6.7E+06,0.0,19000,1.7E+07,0.0,14500,1.3E+07,0.0,2.6
1,Adrenal glands,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,7,3.3E+06,0.0,13,6.2E+06,0.0,14,6.6E+06,0.0,2.3
2,Blood,B cells,0.3,blood,Blood,human,2.4E+05,1.0,199,1.0,2616,6.4E+08,0.1,4251,1.0E+09,0.2,5500,1.3E+09,0.3,1.0
3,Brain,B cells,0.0,CNS,Others,human,9.9E+03,1.1,199,1.0,1300,1.3E+07,0.0,1300,1.3E+07,0.0,1450,1.4E+07,0.0,1.1
4,Breasts,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,15,7.1E+06,0.0,500,2.4E+08,0.1,25,1.2E+07,0.0,2.3
5,Bronchial tree,B cells,0.0,barrier epithelial,Lungs,extrapolation,1.8E+06,3.9,199,1.0,13.15,2.4E+07,0.0,24.66,4.5E+07,0.0,30,5.4E+07,0.0,3.9
6,Cartilage ,B cells,0.0,connective,Others,extrapolation,1.1E+04,2.0,199,1.0,820,9.2E+06,0.0,900,1.0E+07,0.0,1100,1.2E+07,0.0,2.0
7,Colon,B cells,0.3,barrier epithelial,GI,human,3.4E+06,2.1,199,1.0,210,7.1E+08,0.2,360,1.2E+09,0.3,370,1.2E+09,0.3,2.1
8,Connective tissue,B cells,0.0,connective,Others,extrapolation,1.1E+04,2.0,199,1.0,701.37,7.9E+06,0.0,1315.07,1.5E+07,0.0,1600,1.8E+07,0.0,2.0
9,Epididymes,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,1.6,7.6E+05,0.0,0,0.0E+00,0.0,17,8.1E+06,0.0,2.3
10,Esophagus,B cells,0.0,barrier epithelial,GI,extrapolation,1.8E+06,3.9,199,1.0,18,3.3E+07,0.0,35,6.3E+07,0.0,40,7.2E+07,0.0,3.9
11,Eyes ,B cells,0.0,CNS,Others,extrapolation,9.9E+03,1.1,199,1.0,12,1.2E+05,0.0,15,1.5E+05,0.0,15,1.5E+05,0.0,1.1
12,Fallopian tubes,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,0,0.0E+00,0.0,2.1,1.0E+06,0.0,0,0.0E+00,0.0,2.3
13,Gallbladder,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,4.4,2.1E+06,0.0,8,3.8E+06,0.0,10,4.7E+06,0.0,2.3
14,Heart,B cells,0.0,striated muscle,Others,human,1.4E+05,1.8,199,1.0,140,1.9E+07,0.0,250,3.4E+07,0.0,330,4.5E+07,0.0,1.8
15,Kidneys,B cells,0.0,internal epithelial,Others,human,2.3E+05,1.1,199,1.0,180,4.1E+07,0.0,275,6.3E+07,0.0,310,7.1E+07,0.0,1.1
16,Larynx,B cells,0.0,barrier epithelial,Lungs,extrapolation,1.8E+06,3.9,199,1.0,12,2.2E+07,0.0,19,3.4E+07,0.0,28,5.1E+07,0.0,3.9
17,Liver,B cells,0.4,internal epithelial,Liver,human,9.8E+05,2.2,199,1.0,830,8.2E+08,0.2,1400,1.4E+09,0.3,1800,1.8E+09,0.4,2.2
18,Lungs,B cells,0.5,barrier epithelial,Lungs,extrapolation,1.8E+06,3.9,199,1.0,487,8.8E+08,0.2,925,1.7E+09,0.4,1170,2.1E+09,0.5,3.9
19,Lymph nodes,B cells,34.9,lymphatic system,Lymph system,multiplex,7.3E+08,1.4,199,1.0,99,7.2E+10,15.4,185,1.3E+11,28.7,225,1.6E+11,34.9,1.4
20,Lymph vessels,B cells,0.0,connective,Lymph system,human,1.1E+04,2.0,199,1.0,221,2.5E+06,0.0,415,4.7E+06,0.0,505,5.7E+06,0.0,2.0
21,Ovaries,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,0,0.0E+00,0.0,11,5.2E+06,0.0,0,0.0E+00,0.0,2.3
22,Pancreas,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,60,2.8E+07,0.0,120,5.7E+07,0.0,140,6.6E+07,0.0,2.3
23,Parathyroid glands,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,0.08,3.8E+04,0.0,0.15,7.1E+04,0.0,0.18,8.5E+04,0.0,2.3
24,Periarticular tissue,B cells,0.0,connective,Others,extrapolation,1.1E+04,2.0,199,1.0,394.52,4.4E+06,0.0,739.73,8.3E+06,0.0,900,1.0E+07,0.0,2.0
25,Pineal gland,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,0.08,3.8E+04,0.0,0.15,7.1E+04,0.0,0.18,8.5E+04,0.0,2.3
26,Pituitary gland,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,0.35,1.7E+05,0.0,0.6,2.8E+05,0.0,0.6,2.8E+05,0.0,2.3
27,Prostate gland,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,1.6,7.6E+05,0.0,0,0.0E+00,0.0,17,8.1E+06,0.0,2.3
28,Red marrow,B cells,3.1,marrow,Bone Marrow,human,1.2E+07,1.9,199,1.0,630,7.7E+09,1.7,900,1.1E+10,2.4,1170,1.4E+10,3.1,1.9
29,SI,B cells,1.3,barrier epithelial,GI,human,9.3E+06,2.2,199,1.0,369,3.4E+09,0.7,601,5.6E+09,1.2,649,6.1E+09,1.3,2.2
30,Salivary glands,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,44,2.1E+07,0.0,70,3.3E+07,0.0,85,4.0E+07,0.0,2.3
31,Skeletal Muscles,B cells,0.1,striated muscle,Others,human,8.8E+03,1.9,199,1.0,11000,9.7E+07,0.0,17500,1.5E+08,0.0,28500,2.5E+08,0.1,1.9
32,Skin,B cells,0.1,barrier epithelial,Skin,human,1.9E+05,1.7,199,1.0,820,1.5E+08,0.0,2300,4.3E+08,0.1,3300,6.2E+08,0.1,1.7
33,Spinal cord,B cells,0.0,CNS,Others,extrapolation,9.9E+03,1.1,199,1.0,13,1.3E+05,0.0,25,2.5E+05,0.0,30,3.0E+05,0.0,1.1
34,Spleen,B cells,14.2,lymphatic system,Lymph system,multiplex,4.4E+08,1.1,199,1.0,80,3.5E+10,7.6,130,5.8E+10,12.3,150,6.7E+10,14.2,1.1
35,Stomach,B cells,0.1,barrier epithelial,GI,extrapolation,1.8E+06,3.9,199,1.0,84,1.5E+08,0.0,141,2.6E+08,0.1,150,2.7E+08,0.1,3.9
36,Testes,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,2,9.5E+05,0.0,0,0.0E+00,0.0,35,1.7E+07,0.0,2.3
37,Thymus,B cells,0.1,lymphatic system,Lymph system,multiplex,3.1E+07,1.6,199,1.0,40,1.3E+09,0.3,25,7.8E+08,0.2,20,6.3E+08,0.1,1.6
38,Thyroid,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,7.9,3.7E+06,0.0,17,8.1E+06,0.0,20,9.5E+06,0.0,2.3
39,Tongue,B cells,0.0,striated muscle,Others,extrapolation,3.5E+04,4.5,199,1.0,32,1.1E+06,0.0,60,2.1E+06,0.0,73,2.5E+06,0.0,4.5
40,Tonsils,B cells,0.4,lymphatic system,Lymph system,multiplex,6.2E+08,1.5,199,1.0,3,1.9E+09,0.4,3,1.9E+09,0.4,3,1.9E+09,0.4,1.5
41,Trachea,B cells,0.0,barrier epithelial,Lungs,extrapolation,1.8E+06,3.9,199,1.0,4.5,8.1E+06,0.0,8,1.4E+07,0.0,10,1.8E+07,0.0,3.9
42,Ureters,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,7,3.3E+06,0.0,15,7.1E+06,0.0,16,7.6E+06,0.0,2.3
43,Urethra,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,3,1.4E+06,0.0,3,1.4E+06,0.0,10,4.7E+06,0.0,2.3
44,Urinary bladder,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,25,1.2E+07,0.0,40,1.9E+07,0.0,50,2.4E+07,0.0,2.3
45,Uterus,B cells,0.0,internal epithelial,Others,extrapolation,4.7E+05,2.3,199,1.0,0,0.0E+00,0.0,80,3.8E+07,0.0,0,0.0E+00,0.0,2.3
46,Yellow marrow,B cells,0.0,adipose tissue,Others,extrapolation,8.9E+02,2.6,199,1.0,630,5.6E+05,0.0,1800,1.6E+06,0.0,2480,2.2E+06,0.0,2.6
47,Adipose tissue,NK cells,0.0,adipose tissue,Others,human,5.9E+03,1.7,199,1.0,7500,4.4E+07,0.0,19000,1.1E+08,0.0,14500,8.5E+07,0.0,1.7
48,Adrenal glands,NK cells,0.0,internal epithelial,Others,extrapolation,3.1E+06,2.3,199,1.0,7,2.2E+07,0.0,13,4.0E+07,0.0,14,4.3E+07,0.0,2.3
49,Blood,NK cells,0.3,blood,Blood,human,2.8E+05,1.0,199,1.0,2616,7.4E+08,0.2,4251,1.2E+09,0.3,5500,1.6E+09,0.3,1.0
51,Breasts,NK cells,0.0,internal epithelial,Others,extrapolation,3.1E+06,2.3,199,1.0,15,4.6E+07,0.0,500,1.5E+09,0.3,25,7.7E+07,0.0,2.3
52,Bronchial tree,NK cells,0.0,barrier epithelial,Lungs,extrapolation,5.8E+05,1.7,199,1.0,13.15,7.7E+06,0.0,24.66,1.4E+07,0.0,30,1.8E+07,0.0,1.7
53,Cartilage ,NK cells,0.0,connective,Others,extrapolation,7.6E+03,2.2,199,1.0,820,6.2E+06,0.0,900,6.8E+06,0.0,1100,8.4E+06,0.0,2.2
54,Colon,NK cells,0.0,barrier epithelial,GI,human,4.0E+05,1.4,199,1.0,210,8.5E+07,0.0,360,1.5E+08,0.0,370,1.5E+08,0.0,1.4
55,Connective tissue,NK cells,0.0,connective,Others,extrapolation,7.6E+03,2.2,199,1.0,701.37,5.3E+06,0.0,1315.07,1.0E+07,0.0,1600,1.2E+07,0.0,2.2
56,Epididymes,NK cells,0.0,internal epithelial,Others,extrapolation,3.1E+06,2.3,199,1.0,1.6,4.9E+06,0.0,0,0.0E+00,0.0,17,5.2E+07,0.0,2.3
57,Esophagus,NK cells,0.0,barrier epithelial,GI,extrapolation,5.8E+05,1.7,199,1.0,18,1.1E+07,0.0,35,2.0E+07,0.0,40,2.3E+07,0.0,1.7
59,Fallopian tubes,NK cells,0.0,internal epithelial,Others,extrapolation,3.1E+06,2.3,199,1.0,0,0.0E+00,0.0,2.1,6.5E+06,0.0,0,0.0E+00,0.0,2.3
60,Gallbladder,NK cells,0.0,internal epithelial,Others,extrapolation,3.1E+06,2.3,199,1.0,4.4,1.4E+07,0.0,8,2.5E+07,0.0,10,3.1E+07,0.0,2.3
61,Heart,NK cells,0.0,striated muscle,Others,extrapolation,2.2E+04,1.9,199,1.0,140,3.1E+06,0.0,250,5.5E+06,0.0,330,7.2E+06,0.0,1.9
